"nfeatures","n_pcs","resolution","silhouette","modularity"
550,5,0.88,0.277855017601388,0.594663656147565
550,5,0.9,0.277855017601388,0.594663656147565
550,5,0.92,0.277855017601388,0.594663656147565
550,5,0.94,0.277855017601388,0.594663656147565
550,5,0.96,0.277855017601388,0.594663656147565
550,5,0.98,0.277855017601388,0.594663656147565
550,5,1,0.277855017601388,0.594663656147565
600,5,0.2,0.368053093502394,0.573483697504222
600,5,0.22,0.368053093502394,0.573483697504222
600,5,0.24,0.368053093502394,0.573483697504222
600,5,0.26,0.368053093502394,0.573483697504222
600,5,0.28,0.368053093502394,0.573483697504222
600,5,0.3,0.368053093502394,0.573483697504222
600,5,0.32,0.347661218761357,0.612403840120097
600,5,0.34,0.347661218761357,0.612403840120097
600,5,0.36,0.344375459881316,0.610734603865641
600,5,0.38,0.344375459881316,0.610734603865641
600,5,0.4,0.344375459881316,0.610734603865641
600,5,0.42,0.344375459881316,0.610734603865641
600,5,0.44,0.344375459881316,0.610734603865641
600,5,0.46,0.344375459881316,0.610734603865641
600,5,0.48,0.344902821663131,0.61260122049165
600,5,0.5,0.330570971829757,0.634641570275849
600,5,0.52,0.330570971829757,0.634641570275849
600,5,0.54,0.330570971829757,0.634641570275849
600,5,0.56,0.330570971829757,0.634641570275849
600,5,0.58,0.330570971829757,0.634641570275849
600,5,0.6,0.330570971829757,0.634641570275849
600,5,0.62,0.330570971829757,0.634641570275849
600,5,0.64,0.330570971829757,0.634641570275849
600,5,0.66,0.330570971829757,0.634641570275849
600,5,0.68,0.330190300104402,0.635716143366485
600,5,0.7,0.330190300104402,0.635716143366485
600,5,0.72,0.330190300104402,0.635716143366485
600,5,0.74,0.330190300104402,0.635716143366485
600,5,0.76,0.330190300104402,0.635716143366485
600,5,0.78,0.330190300104402,0.635716143366485
600,5,0.8,0.330190300104402,0.635716143366485
600,5,0.82,0.330190300104402,0.635716143366485
600,5,0.84,0.299614022819268,0.618365375867893
600,5,0.86,0.297899200172937,0.61647466766748
600,5,0.88,0.299614022819268,0.618365375867893
600,5,0.9,0.299614022819268,0.618365375867893
600,5,0.92,0.299614022819268,0.618365375867893
600,5,0.94,0.299614022819268,0.618365375867893
600,5,0.96,0.300000285243164,0.615557446425221
600,5,0.98,0.299614022819268,0.618365375867893
600,5,1,0.275394933741312,0.594223780821918
650,5,0.2,0.390738088199457,0.551898774621128
650,5,0.22,0.390738088199457,0.551898774621128
650,5,0.24,0.390738088199457,0.551898774621128
650,5,0.26,0.390738088199457,0.551898774621128
650,5,0.28,0.390738088199457,0.551898774621128
650,5,0.3,0.390738088199457,0.551898774621128
650,5,0.32,0.390738088199457,0.551898774621128
650,5,0.34,0.390738088199457,0.551898774621128
650,5,0.36,0.281912630397531,0.592980022456875
650,5,0.38,0.281912630397531,0.592980022456875
650,5,0.4,0.281912630397531,0.592980022456875
650,5,0.42,0.316914780339739,0.61312693827152
650,5,0.44,0.316914780339739,0.61312693827152
650,5,0.46,0.316914780339739,0.61312693827152
650,5,0.48,0.316040036658626,0.613787220139324
650,5,0.5,0.316040036658626,0.613787220139324
650,5,0.52,0.316040036658626,0.613787220139324
650,5,0.54,0.316040036658626,0.613787220139324
650,5,0.56,0.316040036658626,0.613787220139324
650,5,0.58,0.316040036658626,0.613787220139324
650,5,0.6,0.316258063318638,0.614195056305709
650,5,0.62,0.316258063318638,0.614195056305709
650,5,0.64,0.316258063318638,0.614195056305709
650,5,0.66,0.316676065155,0.61437074864552
650,5,0.68,0.316676065155,0.61437074864552
650,5,0.7,0.316676065155,0.61437074864552
650,5,0.72,0.316676065155,0.61437074864552
650,5,0.74,0.316676065155,0.61437074864552
650,5,0.76,0.316676065155,0.61437074864552
650,5,0.78,0.316676065155,0.61437074864552
650,5,0.8,0.316676065155,0.61437074864552
650,5,0.82,0.316676065155,0.61437074864552
650,5,0.84,0.316676065155,0.61437074864552
650,5,0.86,0.295176461259537,0.595749329439586
650,5,0.88,0.29491736277464,0.597183191126833
650,5,0.9,0.29491736277464,0.597183191126833
650,5,0.92,0.288712055898068,0.593561144634895
650,5,0.94,0.271560834597393,0.593150245869012
650,5,0.96,0.271560834597393,0.593150245869012
650,5,0.98,0.271560834597393,0.593150245869012
650,5,1,0.271560834597393,0.593150245869012
700,5,0.2,0.364088403252483,0.545721583067654
700,5,0.22,0.364088403252483,0.545721583067654
700,5,0.24,0.364088403252483,0.545721583067654
700,5,0.26,0.364088403252483,0.545721583067654
700,5,0.28,0.364088403252483,0.545721583067654
